# Simulation 17 (Up to date)
# 217 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,20.8,85.39,90,525.989,55.1,NaN,46.379,3.186,90
0.003,0,0,0,0,20.8,85.39,90,525.987,55.098,NaN,46.379,3.178,90
0.006,0,0,0,0,20.8,85.39,90,525.981,55.092,NaN,46.378,3.168,90
0.012,0,0,0,0,20.8,85.39,90,525.973,55.084,NaN,46.377,3.152,90
0.02,0,0,0,0,20.8,85.39,90,525.96,55.071,NaN,46.376,3.128,90
0.028,0,0,0,0,20.8,85.39,90,525.949,55.06,NaN,46.375,3.106,90
0.04,3.105e-4,0.082,0.082,4.032e-6,20.8,85.39,88.468,525.883,54.993,NaN,46.369,3.072,90
0.051,0.003,0.422,0.422,1.823e-5,20.8,85.39,82.112,525.731,54.842,NaN,46.355,3.045,90
0.061,0.009,0.891,0.891,3.984e-5,20.8,85.39,73.726,525.523,54.633,NaN,46.336,3.054,90
# Event LIFTOFF occurred at t=0.071 seconds
0.071,0.021,1.368,1.368,7.016e-5,20.8,85.39,65.914,525.314,54.425,NaN,46.317,3.064,90
0.081,0.037,1.854,1.854,1.051e-4,20.8,85.39,58.882,525.106,54.217,NaN,46.298,3.074,90
0.091,0.058,2.347,2.347,1.4e-4,20.8,85.39,52.696,524.898,54.009,NaN,46.279,3.084,90
0.101,0.084,2.848,2.848,1.749e-4,20.8,85.39,47.304,524.69,53.801,NaN,46.26,3.091,90
0.111,0.115,3.358,3.358,2.098e-4,20.8,85.39,42.409,524.482,53.592,NaN,46.241,3.071,90
0.121,0.151,3.875,3.875,2.447e-4,20.8,85.39,38.177,524.273,53.384,NaN,46.222,3.05,90
0.131,0.192,4.401,4.401,2.796e-4,20.8,85.39,34.52,524.065,53.176,NaN,46.203,3.03,90
0.141,0.239,4.934,4.934,3.145e-4,20.8,85.39,31.357,523.857,52.968,NaN,46.184,3.01,90
0.151,0.291,5.475,5.475,3.494e-4,20.8,85.39,28.565,523.649,52.76,NaN,46.165,2.984,90
0.161,0.348,6.025,6.025,3.843e-4,20.8,85.39,25.75,523.441,52.551,NaN,46.145,2.909,90
0.171,0.411,6.582,6.582,4.192e-4,20.8,85.39,23.272,523.232,52.343,NaN,46.126,2.834,90
0.178,0.459,6.977,6.977,4.437e-4,20.8,85.39,21.714,523.087,52.197,NaN,46.113,2.782,90
0.188,0.532,7.545,7.545,4.786e-4,20.8,85.39,19.713,522.856,51.967,NaN,46.092,2.707,90
0.198,0.61,8.115,8.115,5.135e-4,20.8,85.39,17.945,522.626,51.737,NaN,46.07,2.632,90
0.208,0.694,8.688,8.688,5.484e-4,20.8,85.39,16.905,522.395,51.506,NaN,46.049,2.644,90
0.218,0.784,9.263,9.263,5.833e-4,20.8,85.39,16.104,522.165,51.276,NaN,46.028,2.678,90
0.228,0.879,9.841,9.841,6.182e-4,20.8,85.39,15.387,521.935,51.045,NaN,46.006,2.712,90
0.238,0.98,10.421,10.421,6.531e-4,20.8,85.39,14.743,521.704,50.815,NaN,45.985,2.746,90
# Event LAUNCHROD occurred at t=0.248 seconds
0.248,1.083,10.979,10.979,6.866e-4,20.8,85.39,14.183,521.483,50.594,55.721,45.964,2.778,90
0.262,1.247,11.821,11.822,8.223e-4,20.8,85.39,13.005,521.151,50.262,55.825,45.934,2.747,90
0.284,1.516,13.094,13.094,0.001,20.8,85.39,11.379,520.654,49.765,55.99,45.887,2.675,90
0.316,1.971,15.023,15.023,0.003,20.8,85.39,9.469,519.907,49.018,56.223,45.818,2.592,90
0.321,2.048,15.325,15.325,0.003,20.8,85.39,9.222,519.792,48.902,56.257,45.807,2.583,90
0.329,2.165,15.778,15.778,0.004,20.8,85.39,8.864,519.611,48.721,56.307,45.79,2.57,90
0.34,2.347,16.46,16.46,0.004,20.8,85.39,8.357,519.339,48.45,56.382,45.765,2.55,90
0.357,2.636,17.486,17.486,0.006,20.8,85.39,7.77,518.932,48.043,56.474,45.727,2.556,90
0.382,3.1,19.031,19.031,0.008,20.8,85.39,7.209,518.321,47.432,56.569,45.669,2.647,90
0.42,3.872,21.364,21.365,0.011,20.8,85.39,6.437,517.405,46.516,56.71,45.583,2.789,90
0.47,5.017,24.446,24.446,0.016,20.8,85.39,5.277,516.206,45.317,56.948,45.47,2.89,90
0.516,6.194,27.278,27.278,0.019,20.8,85.39,3.935,515.114,44.225,57.273,45.366,2.817,90
0.566,7.636,30.431,30.431,0.018,20.8,85.39,2.475,513.854,42.965,57.703,45.246,2.677,90
0.616,9.238,33.64,33.641,0.011,20.8,85.39,1.308,512.594,41.705,58.124,45.126,2.632,90
0.666,11.001,36.904,36.907,0.008,20.8,85.39,0.3,511.334,40.445,58.559,45.004,2.624,90
0.712,12.769,39.95,39.959,0.038,20.8,85.39,0.469,510.175,39.286,58.482,44.892,2.66,90
0.762,14.85,43.304,43.322,0.089,20.8,85.39,1.156,508.848,37.959,58.188,44.763,2.718,90
0.812,17.1,46.697,46.729,0.163,20.8,85.39,1.694,507.521,36.632,57.98,44.634,2.756,90
0.854,19.121,49.576,49.625,0.245,20.8,85.39,1.851,506.406,35.517,57.924,44.524,2.898,90
0.898,21.349,52.605,52.676,0.353,20.8,85.39,1.991,505.201,34.312,57.875,44.405,2.906,90
0.933,23.266,55.115,55.208,0.458,20.8,85.39,1.951,504.218,33.329,57.89,44.308,2.911,90
0.947,24.033,56.099,56.201,0.504,20.8,85.39,1.897,503.837,32.947,57.91,44.27,2.912,90
0.968,25.211,57.617,57.733,0.576,20.8,85.39,1.779,503.234,32.345,57.953,44.21,2.911,90
0.979,25.866,58.475,58.599,0.619,20.8,85.39,1.695,502.905,32.016,57.984,44.177,2.909,90
0.996,26.867,59.713,59.85,0.685,20.8,85.39,1.548,502.422,31.532,58.04,44.129,2.907,90
0.999,27.05,59.924,60.063,0.698,20.8,85.39,1.519,502.334,31.445,58.051,44.12,2.907,90
1.004,27.327,60.228,60.37,0.717,20.8,85.39,1.457,502.221,31.332,58.075,44.109,2.925,90
1.011,27.745,60.65,60.796,0.746,20.8,85.39,1.355,502.052,31.163,58.115,44.092,2.959,90
1.018,28.2,61.061,61.212,0.777,20.8,85.39,1.241,501.869,30.98,58.16,44.074,2.996,90
1.029,28.888,61.6,61.757,0.826,20.8,85.39,1.067,501.651,30.761,58.231,44.052,3.051,90
1.04,29.555,62.041,62.203,0.874,20.8,85.39,0.894,501.441,30.552,58.304,44.031,3.104,90
1.056,30.563,62.584,62.752,0.948,20.8,85.39,0.647,501.2,30.311,58.411,44.007,3.164,90
1.069,31.368,62.927,63.099,1.007,20.8,85.39,0.471,501.009,30.12,58.49,43.988,3.185,90
1.088,32.583,63.276,63.453,1.097,20.8,85.39,0.203,500.829,29.94,58.616,43.969,3.216,90
1.104,33.581,63.403,63.583,1.172,20.8,85.39,0.01,500.681,29.792,58.71,43.955,3.212,90
1.122,34.722,63.355,63.536,1.258,20.8,85.39,0.117,500.608,29.719,58.657,43.947,3.107,90
# Event BURNOUT occurred at t=1.141 seconds
1.141,35.924,63.128,63.309,1.349,20.8,85.39,0.246,500.589,29.7,58.595,43.945,2.996,90
1.169,37.717,62.701,62.881,1.485,20.8,85.39,0.543,500.589,29.7,58.458,43.945,2.969,90
1.212,40.384,62.066,62.244,1.687,20.8,85.39,0.961,500.589,29.7,58.275,43.945,2.991,90
1.262,43.469,61.33,61.504,1.921,20.8,85.39,1.231,500.589,29.7,58.164,43.945,2.983,90
1.304,46.004,60.723,60.894,2.111,20.8,85.39,1.403,500.589,29.7,58.096,43.945,3.121,90
1.341,48.236,60.187,60.355,2.278,20.8,85.39,1.31,500.589,29.7,58.133,43.945,3.143,90
1.381,50.665,59.602,59.766,2.459,20.8,85.39,1.083,500.589,29.7,58.224,43.945,3.192,90
1.431,53.627,58.884,59.046,2.679,20.8,85.39,0.62,500.589,29.7,58.421,43.945,3.222,90
1.481,56.554,58.171,58.332,2.897,20.8,85.39,0.131,500.589,29.7,58.648,43.945,3.312,90
1.531,59.445,57.461,57.622,3.112,20.8,85.39,0.427,500.589,29.7,58.508,43.945,3.33,90
1.581,62.3,56.754,56.916,3.327,20.8,85.39,0.966,500.589,29.7,58.271,43.945,3.271,90
1.631,65.12,56.048,56.214,3.543,20.8,85.39,1.389,500.589,29.7,58.1,43.945,3.151,90
