# Simulation 29 (Up to date)
# 246 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,20.8,85.39,90,534.889,64,NaN,47.286,1.801,90
0.011,0,0,0,0,20.8,85.39,90,534.881,63.992,NaN,47.285,1.815,90
0.021,0,0,0,0,20.8,85.39,90,534.856,63.966,NaN,47.283,1.827,90
0.031,5.388e-5,0.017,0.017,8.345e-7,20.8,85.39,89.485,534.808,63.919,NaN,47.279,1.84,90
0.039,3.287e-4,0.056,0.056,3.316e-6,20.8,85.39,88.263,534.77,63.881,NaN,47.275,1.85,90
0.051,0.002,0.173,0.173,1.011e-5,20.8,85.39,84.696,534.684,63.795,NaN,47.267,1.864,90
0.061,0.004,0.329,0.329,1.864e-5,20.8,85.39,80.039,534.586,63.697,NaN,47.259,1.873,90
0.066,0.006,0.425,0.425,2.391e-5,20.8,85.39,77.226,534.537,63.648,NaN,47.254,1.877,90
0.074,0.01,0.589,0.589,3.31e-5,20.8,85.39,72.619,534.448,63.559,NaN,47.246,1.883,90
0.077,0.012,0.672,0.672,3.793e-5,20.8,85.39,70.374,534.406,63.517,NaN,47.242,1.886,90
0.082,0.016,0.806,0.806,4.584e-5,20.8,85.39,66.89,534.336,63.447,NaN,47.236,1.891,90
0.086,0.019,0.91,0.91,5.201e-5,20.8,85.39,64.323,534.286,63.397,NaN,47.232,1.894,90
# Event LIFTOFF occurred at t=0.092 seconds
0.092,0.025,1.075,1.075,6.208e-5,20.8,85.39,60.459,534.203,63.314,NaN,47.224,1.898,90
0.098,0.032,1.274,1.274,7.408e-5,20.8,85.39,56.185,534.109,63.22,NaN,47.216,1.904,90
0.109,0.048,1.649,1.649,9.478e-5,20.8,85.39,49.085,533.932,63.042,NaN,47.2,1.905,90
0.119,0.066,2.024,2.024,1.136e-4,20.8,85.39,43.216,533.755,62.866,NaN,47.184,1.904,90
0.124,0.077,2.223,2.223,1.23e-4,20.8,85.39,40.539,533.666,62.777,NaN,47.176,1.903,90
0.132,0.095,2.537,2.537,1.371e-4,20.8,85.39,36.847,533.522,62.633,NaN,47.163,1.903,90
0.137,0.11,2.778,2.778,1.475e-4,20.8,85.39,34.376,533.416,62.526,NaN,47.153,1.902,90
0.145,0.134,3.156,3.156,1.63e-4,20.8,85.39,31.046,533.24,62.351,NaN,47.137,1.902,90
0.155,0.168,3.638,3.638,1.818e-4,20.8,85.39,27.685,533.027,62.138,NaN,47.118,1.911,90
0.163,0.198,4.03,4.03,1.964e-4,20.8,85.39,25.509,532.862,61.973,NaN,47.103,1.925,90
0.173,0.241,4.551,4.551,2.152e-4,20.8,85.39,23.095,532.634,61.744,NaN,47.083,1.942,90
0.18,0.274,4.923,4.923,2.284e-4,20.8,85.39,21.639,532.473,61.584,NaN,47.068,1.955,90
0.19,0.326,5.465,5.465,2.472e-4,20.8,85.39,19.83,532.236,61.347,NaN,47.047,1.973,90
0.201,0.389,6.075,6.075,2.679e-4,20.8,85.39,18.137,531.975,61.086,NaN,47.023,1.992,90
0.211,0.453,6.634,6.634,2.867e-4,20.8,85.39,16.816,531.736,60.847,NaN,47.001,2.007,90
0.221,0.522,7.189,7.189,3.055e-4,20.8,85.39,15.694,531.498,60.608,NaN,46.98,2.022,90
0.231,0.596,7.739,7.739,3.244e-4,20.8,85.39,14.732,531.259,60.37,NaN,46.958,2.037,90
