# Simulation 33 (Up to date)
# 234 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,20.8,85.39,90,525.389,54.5,NaN,46.548,4.708,90
0.01,6.211e-4,0.203,0.203,8.244e-6,20.8,85.39,87.506,525.32,54.431,NaN,46.542,4.655,90
0.018,0.004,0.696,0.696,3.244e-5,20.8,85.39,81.419,525.181,54.292,NaN,46.528,4.613,90
0.028,0.015,1.469,1.469,8.448e-5,20.8,85.39,72.123,524.966,54.077,NaN,46.508,4.56,90
# Event LIFTOFF occurred at t=0.038 seconds
0.038,0.034,2.266,2.266,1.615e-4,20.8,85.39,63.269,524.751,53.862,NaN,46.487,4.508,90
0.048,0.06,3.081,3.081,2.514e-4,20.8,85.39,55.279,524.524,53.635,NaN,46.466,4.455,90
0.058,0.095,3.909,3.909,3.413e-4,20.8,85.39,48.627,524.296,53.407,NaN,46.444,4.447,90
0.068,0.138,4.751,4.751,4.313e-4,20.8,85.39,43.077,524.069,53.18,NaN,46.422,4.452,90
0.078,0.19,5.607,5.607,5.212e-4,20.8,85.39,38.418,523.842,52.953,NaN,46.401,4.456,90
0.081,0.207,5.866,5.866,5.482e-4,20.8,85.39,37.172,523.773,52.884,NaN,46.394,4.457,90
0.086,0.235,6.254,6.254,5.887e-4,20.8,85.39,35.431,523.67,52.781,NaN,46.384,4.459,90
0.092,0.279,6.833,6.833,6.494e-4,20.8,85.39,33.091,523.514,52.625,NaN,46.369,4.462,90
0.102,0.351,7.68,7.68,7.393e-4,20.8,85.39,30.169,523.283,52.394,NaN,46.347,4.473,90
0.106,0.381,7.994,7.994,7.73e-4,20.8,85.39,29.255,523.197,52.308,NaN,46.339,4.487,90
0.112,0.427,8.464,8.464,8.236e-4,20.8,85.39,27.989,523.07,52.181,NaN,46.327,4.507,90
0.12,0.502,9.167,9.167,8.995e-4,20.8,85.39,26.293,522.88,51.991,NaN,46.309,4.538,90
0.13,0.597,9.998,9.998,9.895e-4,20.8,85.39,24.546,522.655,51.766,NaN,46.287,4.575,90
0.14,0.701,10.825,10.825,0.001,20.8,85.39,23.034,522.429,51.54,NaN,46.265,4.612,90
0.146,0.767,11.315,11.315,0.001,20.8,85.39,22.23,522.296,51.406,NaN,46.252,4.633,90
0.155,0.87,12.046,12.046,0.001,20.8,85.39,21.013,522.096,51.207,NaN,46.233,4.636,90
0.161,0.946,12.561,12.561,0.001,20.8,85.39,20.165,521.958,51.068,NaN,46.22,4.622,90
# Event LAUNCHROD occurred at t=0.169 seconds
0.169,1.049,13.227,13.227,0.001,20.8,85.39,19.151,521.777,50.888,55.388,46.202,4.602,90
0.181,1.213,14.227,14.227,0.002,20.8,85.39,17.694,521.506,50.617,55.471,46.176,4.574,90
0.197,1.453,15.574,15.575,0.002,20.8,85.39,15.972,521.141,50.251,55.584,46.141,4.535,90
0.221,1.853,17.579,17.579,0.005,20.8,85.39,14.415,520.6,49.711,55.703,46.089,4.678,90
0.242,2.237,19.282,19.282,0.007,20.8,85.39,13.336,520.134,49.245,55.795,46.043,4.826,90
0.273,2.88,21.798,21.799,0.013,20.8,85.39,11.655,519.454,48.565,55.961,45.977,4.944,90
0.303,3.564,24.157,24.158,0.019,20.8,85.39,10.159,518.808,47.918,56.134,45.915,5.021,90
0.313,3.808,24.94,24.941,0.022,20.8,85.39,9.678,518.591,47.702,56.196,45.893,5.042,90
0.328,4.19,26.104,26.105,0.025,20.8,85.39,8.981,518.282,47.393,56.291,45.863,5.074,90
0.35,4.795,27.823,27.824,0.031,20.8,85.39,7.982,517.818,46.929,56.442,45.818,5.122,90
0.381,5.69,30.139,30.14,0.038,20.8,85.39,6.906,517.179,46.29,56.624,45.755,5.321,90
0.411,6.619,32.311,32.312,0.042,20.8,85.39,5.637,516.564,45.675,56.871,45.695,5.371,90
0.448,7.849,34.907,34.907,0.044,20.8,85.39,3.669,515.854,44.965,57.346,45.625,5.139,90
0.494,9.543,38.077,38.078,0.036,20.8,85.39,1.655,514.954,44.065,57.992,45.536,5.032,90
0.527,10.835,40.242,40.248,0.02,20.8,85.39,0.493,514.34,43.451,58.471,45.475,5.069,90
0.542,11.446,41.218,41.225,0.009,20.8,85.39,0.007,514.063,43.173,58.702,45.448,5.096,90
0.562,12.283,42.493,42.506,0.009,20.8,85.39,0.789,513.697,42.808,58.341,45.411,5,90
0.592,13.586,44.32,44.342,0.045,20.8,85.39,2.05,513.176,42.287,57.851,45.359,4.724,90
0.633,15.452,46.71,46.752,0.113,20.8,85.39,3.149,512.463,41.574,57.497,45.288,4.645,90
0.661,16.801,48.283,48.343,0.175,20.8,85.39,3.576,511.997,41.108,57.375,45.242,4.723,90
0.683,17.857,49.43,49.506,0.231,20.8,85.39,3.697,511.642,40.753,57.342,45.206,4.875,90
0.705,18.94,50.531,50.626,0.295,20.8,85.39,3.818,511.312,40.423,57.31,45.173,4.954,90
0.725,19.964,51.503,51.618,0.36,20.8,85.39,4.116,511.007,40.118,57.231,45.142,4.776,90
0.743,20.912,52.348,52.482,0.426,20.8,85.39,4.3,510.729,39.84,57.185,45.114,4.615,90
0.759,21.774,53.077,53.229,0.489,20.8,85.39,4.314,510.5,39.611,57.181,45.091,4.544,90
