# Simulation 17 (Up to date)
# 207 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,20.8,85.39,90,525.989,55.1,NaN,46.379,2.124,90
0.003,0,0,0,0,20.8,85.39,90,525.987,55.098,NaN,46.379,2.119,90
0.006,0,0,0,0,20.8,85.39,90,525.981,55.092,NaN,46.378,2.112,90
0.012,0,0,0,0,20.8,85.39,90,525.973,55.084,NaN,46.377,2.101,90
0.02,0,0,0,0,20.8,85.39,90,525.96,55.071,NaN,46.376,2.085,90
0.028,0,0,0,0,20.8,85.39,90,525.949,55.06,NaN,46.375,2.071,90
0.04,3.105e-4,0.082,0.082,1.577e-6,20.8,85.39,87.703,525.883,54.993,NaN,46.369,2.048,90
0.051,0.003,0.422,0.422,7.144e-6,20.8,85.39,78.262,525.731,54.842,NaN,46.355,2.03,90
0.061,0.009,0.891,0.891,1.569e-5,20.8,85.39,66.359,525.523,54.633,NaN,46.336,2.036,90
# Event LIFTOFF occurred at t=0.071 seconds
0.071,0.021,1.368,1.368,2.789e-5,20.8,85.39,56.168,525.314,54.425,NaN,46.317,2.043,90
0.081,0.037,1.854,1.854,4.21e-5,20.8,85.39,47.852,525.106,54.217,NaN,46.298,2.049,90
0.091,0.058,2.347,2.347,5.631e-5,20.8,85.39,41.198,524.898,54.009,NaN,46.279,2.056,90
0.101,0.084,2.848,2.848,7.053e-5,20.8,85.39,35.863,524.69,53.801,NaN,46.26,2.06,90
0.111,0.115,3.358,3.358,8.474e-5,20.8,85.39,31.351,524.482,53.592,NaN,46.241,2.047,90
0.121,0.151,3.875,3.875,9.895e-5,20.8,85.39,27.673,524.273,53.384,NaN,46.222,2.034,90
0.131,0.192,4.4,4.4,1.132e-4,20.8,85.39,24.644,524.065,53.176,NaN,46.203,2.02,90
0.141,0.239,4.934,4.934,1.274e-4,20.8,85.39,22.119,523.857,52.968,NaN,46.184,2.007,90
0.151,0.291,5.475,5.475,1.416e-4,20.8,85.39,19.958,523.649,52.76,NaN,46.165,1.99,90
0.161,0.348,6.024,6.024,1.558e-4,20.8,85.39,17.834,523.441,52.551,NaN,46.145,1.94,90
0.171,0.411,6.582,6.582,1.7e-4,20.8,85.39,16.007,523.232,52.343,NaN,46.126,1.89,90
0.178,0.459,6.977,6.977,1.8e-4,20.8,85.39,14.875,523.087,52.197,NaN,46.113,1.855,90
0.188,0.532,7.545,7.545,1.942e-4,20.8,85.39,13.441,522.856,51.967,NaN,46.092,1.805,90
0.198,0.61,8.115,8.115,2.084e-4,20.8,85.39,12.19,522.626,51.737,NaN,46.07,1.754,90
0.208,0.694,8.688,8.688,2.226e-4,20.8,85.39,11.459,522.395,51.506,NaN,46.049,1.763,90
0.218,0.784,9.264,9.264,2.368e-4,20.8,85.39,10.899,522.165,51.276,NaN,46.028,1.785,90
0.228,0.879,9.841,9.841,2.51e-4,20.8,85.39,10.401,521.935,51.045,NaN,46.006,1.808,90
0.238,0.98,10.421,10.421,2.652e-4,20.8,85.39,9.954,521.704,50.815,NaN,45.985,1.83,90
# Event LAUNCHROD occurred at t=0.248 seconds
0.248,1.083,10.98,10.98,2.789e-4,20.8,85.39,9.567,521.483,50.594,56.21,45.964,1.852,90
0.262,1.247,11.823,11.823,3.455e-4,20.8,85.39,8.764,521.151,50.262,56.321,45.934,1.831,90
0.284,1.516,13.096,13.096,6.182e-4,20.8,85.39,7.663,520.654,49.765,56.491,45.887,1.783,90
0.316,1.971,15.025,15.025,0.001,20.8,85.39,6.382,519.908,49.018,56.719,45.818,1.728,90
0.321,2.048,15.328,15.328,0.002,20.8,85.39,6.216,519.792,48.902,56.752,45.807,1.722,90
