# Simulation 33 (Up to date)
# 227 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,20.8,85.39,90,525.389,54.5,NaN,46.548,3.767,90
0.01,6.211e-4,0.203,0.203,4.541e-6,20.8,85.39,86.884,525.32,54.431,NaN,46.542,3.724,90
0.018,0.004,0.696,0.696,1.789e-5,20.8,85.39,79.321,525.181,54.292,NaN,46.528,3.691,90
0.028,0.015,1.469,1.469,4.677e-5,20.8,85.39,68.05,524.966,54.077,NaN,46.508,3.648,90
# Event LIFTOFF occurred at t=0.038 seconds
0.038,0.034,2.266,2.266,9.002e-5,20.8,85.39,57.823,524.751,53.862,NaN,46.487,3.606,90
0.048,0.06,3.081,3.081,1.409e-4,20.8,85.39,49.117,524.524,53.635,NaN,46.466,3.564,90
0.058,0.095,3.909,3.909,1.919e-4,20.8,85.39,42.265,524.296,53.407,NaN,46.444,3.558,90
0.068,0.138,4.751,4.751,2.428e-4,20.8,85.39,36.814,524.069,53.18,NaN,46.422,3.561,90
0.078,0.19,5.606,5.607,2.937e-4,20.8,85.39,32.411,523.842,52.953,NaN,46.401,3.565,90
0.081,0.207,5.866,5.866,3.09e-4,20.8,85.39,31.257,523.773,52.884,NaN,46.394,3.566,90
0.086,0.235,6.254,6.254,3.319e-4,20.8,85.39,29.663,523.67,52.781,NaN,46.384,3.567,90
0.092,0.279,6.832,6.832,3.663e-4,20.8,85.39,27.549,523.514,52.625,NaN,46.369,3.569,90
0.102,0.351,7.679,7.679,4.172e-4,20.8,85.39,24.953,523.283,52.394,NaN,46.347,3.578,90
0.106,0.381,7.994,7.994,4.363e-4,20.8,85.39,24.151,523.197,52.308,NaN,46.339,3.589,90
0.112,0.427,8.464,8.464,4.649e-4,20.8,85.39,23.046,523.07,52.181,NaN,46.327,3.606,90
0.12,0.502,9.167,9.167,5.079e-4,20.8,85.39,21.579,522.88,51.991,NaN,46.309,3.631,90
0.13,0.597,9.998,9.998,5.588e-4,20.8,85.39,20.081,522.655,51.766,NaN,46.287,3.66,90
0.14,0.701,10.825,10.825,6.097e-4,20.8,85.39,18.796,522.429,51.54,NaN,46.265,3.689,90
0.146,0.767,11.315,11.315,6.4e-4,20.8,85.39,18.116,522.296,51.406,NaN,46.252,3.707,90
0.155,0.87,12.046,12.046,6.85e-4,20.8,85.39,17.092,522.096,51.207,NaN,46.233,3.709,90
0.161,0.946,12.561,12.561,7.164e-4,20.8,85.39,16.381,521.958,51.068,NaN,46.22,3.697,90
# Event LAUNCHROD occurred at t=0.169 seconds
0.169,1.049,13.227,13.227,7.569e-4,20.8,85.39,15.535,521.777,50.888,55.615,46.202,3.682,90
0.181,1.213,14.227,14.227,9.169e-4,20.8,85.39,14.335,521.506,50.617,55.709,46.176,3.659,90
0.197,1.453,15.575,15.575,0.001,20.8,85.39,12.928,521.141,50.251,55.833,46.141,3.628,90
0.221,1.853,17.58,17.58,0.003,20.8,85.39,11.671,520.6,49.711,55.959,46.089,3.742,90
0.242,2.237,19.284,19.284,0.005,20.8,85.39,10.81,520.134,49.245,56.055,46.043,3.861,90
