# Simulation 33 (Up to date)
# 227 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.273,2.88,21.801,21.802,0.009,20.8,85.39,9.474,519.454,48.565,56.223,45.977,3.955,90
0.313,3.809,24.944,24.945,0.015,20.8,85.39,7.914,518.591,47.702,56.452,45.893,4.034,90
0.352,4.829,27.921,27.922,0.022,20.8,85.39,6.55,517.793,46.904,56.689,45.815,4.104,90
0.391,5.987,30.863,30.863,0.028,20.8,85.39,5.486,516.978,46.089,56.903,45.735,4.306,90
0.411,6.62,32.32,32.32,0.03,20.8,85.39,4.752,516.564,45.675,57.069,45.695,4.297,90
0.441,7.623,34.459,34.459,0.031,20.8,85.39,3.464,515.981,45.092,57.403,45.637,4.144,90
0.486,9.245,37.563,37.564,0.027,20.8,85.39,1.852,515.107,44.218,57.92,45.551,4.038,90
0.494,9.545,38.096,38.096,0.025,20.8,85.39,1.59,514.954,44.065,58.017,45.536,4.025,90
0.506,10.002,38.886,38.888,0.022,20.8,85.39,1.23,514.733,43.844,58.156,45.514,4.024,90
0.524,10.705,40.054,40.056,0.015,20.8,85.39,0.745,514.402,43.513,58.359,45.481,4.05,90
0.527,10.838,40.269,40.272,0.013,20.8,85.39,0.656,514.34,43.451,58.398,45.475,4.055,90
0.532,11.039,40.592,40.596,0.011,20.8,85.39,0.524,514.248,43.359,58.457,45.466,4.062,90
0.539,11.344,41.081,41.085,0.007,20.8,85.39,0.329,514.11,43.221,58.547,45.452,4.073,90
0.542,11.449,41.249,41.253,0.005,20.8,85.39,0.263,514.063,43.173,58.578,45.448,4.077,90
0.546,11.608,41.5,41.505,0.003,20.8,85.39,0.164,513.993,43.104,58.626,45.441,4.083,90
0.552,11.847,41.872,41.878,8.197e-4,20.8,85.39,9.15e-4,513.888,42.999,58.705,45.43,4.077,90
0.562,12.287,42.532,42.539,0.008,20.8,85.39,0.383,513.697,42.808,58.522,45.411,4,90
0.578,12.96,43.5,43.509,0.021,20.8,85.39,0.933,513.425,42.536,58.28,45.384,3.885,90
0.601,13.997,44.919,44.933,0.045,20.8,85.39,1.691,513.018,42.128,57.98,45.344,3.72,90
0.633,15.46,46.789,46.813,0.086,20.8,85.39,2.334,512.463,41.574,57.754,45.288,3.716,90
0.673,17.379,49.018,49.057,0.155,20.8,85.39,2.794,511.805,40.916,57.606,45.222,3.844,90
0.683,17.87,49.55,49.594,0.175,20.8,85.39,2.847,511.642,40.753,57.59,45.206,3.9,90
0.698,18.616,50.328,50.38,0.208,20.8,85.39,2.901,511.415,40.525,57.573,45.183,3.985,90
0.72,19.757,51.449,51.513,0.262,20.8,85.39,3.207,511.074,40.184,57.482,45.149,3.852,90
0.743,20.934,52.524,52.602,0.324,20.8,85.39,3.447,510.729,39.84,57.413,45.114,3.692,90
0.764,22.058,53.487,53.579,0.387,20.8,85.39,3.483,510.432,39.543,57.403,45.084,3.631,90
0.784,23.146,54.37,54.476,0.453,20.8,85.39,3.394,510.15,39.261,57.429,45.056,3.615,90
0.799,23.945,54.991,55.107,0.504,20.8,85.39,3.283,509.945,39.056,57.461,45.035,3.604,90
0.819,25.071,55.826,55.957,0.58,20.8,85.39,2.992,509.685,38.796,57.548,45.009,3.665,90
0.841,26.302,56.689,56.836,0.666,20.8,85.39,2.606,509.405,38.516,57.668,44.981,3.734,90
0.866,27.719,57.624,57.788,0.771,20.8,85.39,2.08,509.088,38.199,57.845,44.949,3.834,90
0.877,28.356,58.025,58.195,0.819,20.8,85.39,1.824,508.947,38.058,57.937,44.934,3.883,90
0.894,29.32,58.604,58.785,0.894,20.8,85.39,1.424,508.768,37.878,58.087,44.916,3.958,90
0.918,30.782,59.419,59.613,1.011,20.8,85.39,0.89,508.498,37.609,58.304,44.889,3.979,90
0.955,33.012,60.517,60.728,1.194,20.8,85.39,0.114,508.094,37.205,58.657,44.848,3.966,90
0.97,33.894,60.906,61.122,1.268,20.8,85.39,0.19,507.937,37.047,58.621,44.832,3.969,90
0.992,35.227,61.428,61.65,1.381,20.8,85.39,0.628,507.744,36.855,58.419,44.812,3.973,90
1.006,36.102,61.72,61.945,1.456,20.8,85.39,0.898,507.618,36.729,58.302,44.799,3.978,90
1.027,37.421,62.064,62.292,1.569,20.8,85.39,1.273,507.476,36.586,58.148,44.785,3.989,90
1.046,38.583,62.258,62.488,1.668,20.8,85.39,1.561,507.351,36.462,58.036,44.772,3.999,90
1.074,40.33,62.394,62.623,1.818,20.8,85.39,2.017,507.231,36.342,57.87,44.76,4.14,90
1.089,41.264,62.4,62.628,1.898,20.8,85.39,2.219,507.167,36.278,57.799,44.753,4.226,90
1.111,42.665,62.339,62.564,2.018,20.8,85.39,2.29,507.111,36.222,57.775,44.748,4.181,90
1.132,43.944,62.221,62.443,2.126,20.8,85.39,2.145,507.06,36.171,57.825,44.743,3.987,90
1.157,45.47,62.013,62.233,2.255,20.8,85.39,1.961,507.028,36.139,57.889,44.739,3.837,90
1.172,46.426,61.851,62.069,2.336,20.8,85.39,1.93,507.008,36.119,57.9,44.737,3.884,90
1.195,47.856,61.572,61.787,2.455,20.8,85.39,1.823,506.999,36.11,57.939,44.736,3.955,90
# Event BURNOUT occurred at t=1.22 seconds
1.22,49.381,61.232,61.444,2.583,20.8,85.39,1.611,506.989,36.1,58.017,44.735,4.003,90
1.255,51.525,60.721,60.929,2.76,20.8,85.39,1.187,506.989,36.1,58.182,44.735,4.051,90
1.305,54.543,59.998,60.203,3.01,20.8,85.39,0.419,506.989,36.1,58.513,44.735,4.08,90
1.355,57.525,59.278,59.482,3.257,20.8,85.39,0.088,506.989,36.1,58.67,44.735,4.434,90
1.405,60.471,58.559,58.764,3.503,20.8,85.39,0.905,506.989,36.1,58.297,44.735,4.397,90
1.455,63.381,57.841,58.048,3.748,20.8,85.39,1.388,506.989,36.1,58.101,44.735,4.534,90
1.5,65.941,57.201,57.413,3.966,20.8,85.39,2.093,506.989,36.1,57.841,44.735,4.149,90
1.529,67.632,56.774,56.99,4.113,20.8,85.39,2.13,506.989,36.1,57.828,44.735,4.186,90
1.559,69.31,56.349,56.569,4.261,20.8,85.39,2.036,506.989,36.1,57.86,44.735,4.235,90
1.591,71.085,55.9,56.123,4.418,20.8,85.39,1.796,506.989,36.1,57.946,44.735,4.309,90
1.628,73.139,55.381,55.607,4.603,20.8,85.39,1.653,506.989,36.1,57.999,44.735,4.127,90
1.669,75.42,54.802,55.033,4.811,20.8,85.39,1.308,506.989,36.1,58.131,44.735,3.959,90
1.719,78.143,54.114,54.347,5.063,20.8,85.39,0.523,506.989,36.1,58.463,44.735,3.985,90
1.769,80.832,53.436,53.669,5.313,20.8,85.39,0.241,506.989,36.1,58.593,44.735,3.952,90
1.819,83.487,52.766,52.997,5.562,20.8,85.39,0.889,506.989,36.1,58.302,44.735,3.858,90
1.869,86.108,52.102,52.33,5.808,20.8,85.39,1.417,506.989,36.1,58.087,44.735,3.784,90
1.919,88.697,51.443,51.667,6.051,20.8,85.39,1.598,506.989,36.1,58.018,44.735,3.564,90
1.968,91.221,50.797,51.017,6.286,20.8,85.39,1.957,506.989,36.1,57.886,44.735,3.704,90
2.009,93.279,50.268,50.484,6.478,20.8,85.39,2.22,506.989,36.1,57.794,44.735,3.957,90
2.045,95.086,49.801,50.013,6.645,20.8,85.39,2.094,506.989,36.1,57.838,44.735,3.99,90
2.085,97.041,49.293,49.501,6.825,20.8,85.39,1.851,506.989,36.1,57.924,44.735,4.06,90
2.131,99.321,48.697,48.901,7.035,20.8,85.39,1.298,506.989,36.1,58.133,44.735,4.042,90
2.181,101.74,48.058,48.261,7.257,20.8,85.39,0.387,506.989,36.1,58.523,44.735,3.84,90
2.231,104.127,47.421,47.624,7.477,20.8,85.39,0.456,506.989,36.1,58.491,44.735,3.708,90
2.281,106.482,46.784,46.989,7.697,20.8,85.39,1.203,506.989,36.1,58.17,44.735,3.594,90
2.331,108.805,46.146,46.355,7.917,20.8,85.39,1.852,506.989,36.1,57.922,44.735,3.44,90
2.381,111.097,45.509,45.724,8.137,20.8,85.39,2.164,506.989,36.1,57.812,44.735,3.393,90
2.426,113.14,44.936,45.155,8.338,20.8,85.39,2.146,506.989,36.1,57.818,44.735,3.438,90
2.473,115.233,44.345,44.569,8.547,20.8,85.39,1.903,506.989,36.1,57.903,44.735,3.518,90
2.523,117.435,43.721,43.95,8.771,20.8,85.39,1.391,506.989,36.1,58.095,44.735,3.671,90
2.573,119.606,43.104,43.336,8.995,20.8,85.39,0.897,506.989,36.1,58.295,44.735,3.721,90
2.623,121.746,42.493,42.727,9.218,20.8,85.39,0.46,506.989,36.1,58.487,44.735,3.672,90
2.673,123.855,41.887,42.123,9.441,20.8,85.39,0.193,506.989,36.1,58.612,44.735,3.77,90
2.723,125.934,41.287,41.522,9.663,20.8,85.39,0.676,506.989,36.1,58.39,44.735,3.759,90
2.773,127.984,40.69,40.925,9.883,20.8,85.39,1.028,506.989,36.1,58.239,44.735,3.694,90
2.823,130.003,40.098,40.332,10.101,20.8,85.39,1.424,506.989,36.1,58.081,44.735,3.727,90
2.873,131.994,39.51,39.742,10.316,20.8,85.39,1.829,506.989,36.1,57.929,44.735,3.849,90
2.923,133.954,38.925,39.154,10.529,20.8,85.39,2.12,506.989,36.1,57.825,44.735,3.991,90
2.973,135.886,38.343,38.57,10.74,20.8,85.39,2.171,506.989,36.1,57.808,44.735,4.072,90
3.023,137.789,37.764,37.988,10.947,20.8,85.39,2.147,506.989,36.1,57.816,44.735,4.206,90
3.073,139.663,37.188,37.41,11.152,20.8,85.39,1.779,506.989,36.1,57.946,44.735,4.198,90
3.123,141.508,36.614,36.834,11.354,20.8,85.39,1.217,506.989,36.1,58.161,44.735,4.126,90
3.173,143.324,36.041,36.261,11.554,20.8,85.39,0.586,506.989,36.1,58.428,44.735,4.047,90
3.223,145.112,35.468,35.69,11.753,20.8,85.39,0.165,506.989,36.1,58.623,44.735,4.114,90
3.273,146.871,34.898,35.121,11.951,20.8,85.39,0.255,506.989,36.1,58.58,44.735,4.178,90
3.323,148.602,34.329,34.554,12.148,20.8,85.39,1.005,506.989,36.1,58.247,44.735,4.006,90
3.373,150.304,33.759,33.988,12.345,20.8,85.39,1.36,506.989,36.1,58.104,44.735,4.036,90
3.423,151.978,33.192,33.424,12.542,20.8,85.39,1.555,506.989,36.1,58.029,44.735,4.111,90
3.473,153.623,32.625,32.862,12.739,20.8,85.39,2.035,506.989,36.1,57.853,44.735,3.95,90
3.523,155.24,32.059,32.301,12.936,20.8,85.39,2.34,506.989,36.1,57.749,44.735,3.823,90
3.573,156.829,31.495,31.742,13.133,20.8,85.39,2.198,506.989,36.1,57.797,44.735,3.885,90
3.623,158.39,30.934,31.187,13.331,20.8,85.39,1.868,506.989,36.1,57.912,44.735,3.99,90
3.673,159.922,30.378,30.635,13.53,20.8,85.39,1.469,506.989,36.1,58.061,44.735,4.082,90
3.723,161.427,29.825,30.087,13.728,20.8,85.39,0.918,506.989,36.1,58.283,44.735,4.22,90
3.773,162.905,29.276,29.541,13.925,20.8,85.39,0.327,506.989,36.1,58.545,44.735,4.356,90
3.823,164.355,28.731,28.999,14.122,20.8,85.39,0.106,506.989,36.1,58.65,44.735,4.282,90
3.873,165.778,28.188,28.459,14.319,20.8,85.39,0.189,506.989,36.1,58.61,44.735,4.242,90
3.923,167.174,27.648,27.922,14.514,20.8,85.39,0.675,506.989,36.1,58.387,44.735,4.307,90
3.973,168.543,27.111,27.387,14.708,20.8,85.39,0.633,506.989,36.1,58.405,44.735,4.108,90
4.023,169.885,26.575,26.854,14.902,20.8,85.39,0.727,506.989,36.1,58.364,44.735,3.99,90
4.073,171.201,26.042,26.323,15.094,20.8,85.39,1.223,506.989,36.1,58.156,44.735,4.085,90
4.123,172.489,25.511,25.794,15.286,20.8,85.39,1.84,506.989,36.1,57.922,44.735,4.256,90
4.173,173.752,24.983,25.268,15.476,20.8,85.39,2.112,506.989,36.1,57.825,44.735,4.286,90
4.223,174.988,24.456,24.743,15.664,20.8,85.39,1.934,506.989,36.1,57.887,44.735,4.127,90
4.273,176.197,23.931,24.22,15.851,20.8,85.39,2.293,506.989,36.1,57.763,44.735,4.244,90
4.323,177.381,23.409,23.699,16.037,20.8,85.39,2.598,506.989,36.1,57.662,44.735,4.363,90
4.373,178.538,22.888,23.18,16.221,20.8,85.39,2.536,506.989,36.1,57.682,44.735,4.34,90
4.423,179.67,22.368,22.663,16.404,20.8,85.39,2.256,506.989,36.1,57.775,44.735,4.247,90
4.473,180.775,21.849,22.147,16.586,20.8,85.39,1.682,506.989,36.1,57.979,44.735,4.045,90
4.523,181.855,21.331,21.632,16.766,20.8,85.39,1.564,506.989,36.1,58.023,44.735,4.048,90
4.573,182.908,20.814,21.12,16.946,20.8,85.39,1.877,506.989,36.1,57.907,44.735,4.238,90
4.623,183.936,20.299,20.609,17.124,20.8,85.39,1.909,506.989,36.1,57.896,44.735,4.318,90
4.673,184.938,19.785,20.099,17.302,20.8,85.39,1.487,506.989,36.1,58.052,44.735,4.218,90
4.723,185.914,19.271,19.591,17.478,20.8,85.39,1.181,506.989,36.1,58.172,44.735,4.168,90
4.773,186.865,18.759,19.084,17.654,20.8,85.39,0.948,506.989,36.1,58.268,44.735,4.144,90
4.823,187.79,18.247,18.579,17.829,20.8,85.39,0.604,506.989,36.1,58.417,44.735,4.075,90
4.873,188.69,17.736,18.076,18.004,20.8,85.39,0.002,506.989,36.1,58.699,44.735,3.904,90
4.923,189.564,17.225,17.573,18.178,20.8,85.39,0.676,506.989,36.1,58.385,44.735,3.702,90
4.973,190.412,16.715,17.072,18.352,20.8,85.39,1.395,506.989,36.1,58.087,44.735,3.477,90
5.023,191.235,16.204,16.572,18.525,20.8,85.39,1.714,506.989,36.1,57.966,44.735,3.375,90
5.073,192.033,15.695,16.074,18.699,20.8,85.39,1.561,506.989,36.1,58.023,44.735,3.413,90
5.123,192.805,15.187,15.577,18.872,20.8,85.39,1.554,506.989,36.1,58.026,44.735,3.383,90
5.173,193.552,14.68,15.083,19.045,20.8,85.39,1.856,506.989,36.1,57.914,44.735,3.239,90
5.223,194.273,14.174,14.59,19.218,20.8,85.39,2.002,506.989,36.1,57.862,44.735,3.128,90
5.273,194.969,13.669,14.099,19.391,20.8,85.39,1.532,506.989,36.1,58.034,44.735,3.184,90
5.323,195.64,13.165,13.61,19.564,20.8,85.39,0.939,506.989,36.1,58.271,44.735,3.255,90
5.373,196.286,12.663,13.124,19.736,20.8,85.39,0.575,506.989,36.1,58.429,44.735,3.243,90
5.423,196.906,12.162,12.64,19.909,20.8,85.39,0.378,506.989,36.1,58.518,44.735,3.167,90
5.473,197.502,11.663,12.158,20.081,20.8,85.39,0.297,506.989,36.1,58.556,44.735,3.206,90
5.523,198.072,11.164,11.679,20.252,20.8,85.39,0.907,506.989,36.1,58.284,44.735,3.211,90
5.573,198.618,10.667,11.203,20.424,20.8,85.39,1.437,506.989,36.1,58.07,44.735,3.178,90
5.623,199.139,10.171,10.729,20.595,20.8,85.39,2.37,506.989,36.1,57.736,44.735,3.232,90
5.673,199.635,9.676,10.258,20.765,20.8,85.39,3.293,506.989,36.1,57.449,44.735,3.266,90
5.723,200.107,9.183,9.791,20.935,20.8,85.39,3.86,506.989,36.1,57.291,44.735,3.195,90
5.773,200.554,8.69,9.326,21.105,20.8,85.39,4.599,506.989,36.1,57.103,44.735,3.15,90
5.823,200.976,8.199,8.866,21.274,20.8,85.39,5.305,506.989,36.1,56.94,44.735,3.082,90
5.873,201.374,7.708,8.41,21.442,20.8,85.39,6.494,506.989,36.1,56.698,44.735,3.105,90
5.923,201.747,7.22,7.959,21.61,20.8,85.39,8.869,506.989,36.1,56.306,44.735,3.384,90
5.973,202.096,6.735,7.513,21.777,20.8,85.39,10.759,506.989,36.1,56.061,44.735,3.541,90
6.023,202.42,6.252,7.073,21.943,20.8,85.39,11.701,506.989,36.1,55.955,44.735,3.453,90
6.073,202.721,5.769,6.64,22.108,20.8,85.39,13.127,506.989,36.1,55.814,44.735,3.46,90
6.123,202.997,5.289,6.215,22.272,20.8,85.39,15.174,506.989,36.1,55.642,44.735,3.6,90
6.173,203.25,4.813,5.8,22.434,20.8,85.39,17.598,506.989,36.1,55.477,44.735,3.832,90
# Event EJECTION_CHARGE occurred at t=6.22 seconds
6.22,203.465,4.372,5.421,22.585,20.8,85.39,19.862,506.989,36.1,55.352,44.735,4.065,90
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.221 seconds
6.223,203.475,4.349,5.401,22.593,20.8,85.39,NaN,506.989,36.1,0,44.735,4.072,90
6.3,203.776,3.4,4.461,22.829,20.8,85.39,NaN,506.989,36.1,0,44.735,4.433,90
6.382,204.016,2.452,3.552,23.052,20.8,85.39,NaN,506.989,36.1,0,44.735,4.362,90
6.469,204.188,1.496,2.724,23.263,20.8,85.39,NaN,506.989,36.1,0,44.735,4.422,90
6.561,204.281,0.535,2.069,23.46,20.8,85.39,NaN,506.989,36.1,0,44.735,4.473,90
# Event APOGEE occurred at t=6.614 seconds
6.614,204.295,0,1.851,23.562,20.8,85.39,NaN,506.989,36.1,0,44.735,4.439,90
6.713,204.247,-0.966,1.863,23.732,20.8,85.39,NaN,506.989,36.1,0,44.735,4.334,90
6.816,204.098,-1.937,2.361,23.884,20.8,85.39,NaN,506.989,36.1,0,44.735,4.224,90
6.924,203.837,-2.909,3.116,24.017,20.8,85.39,NaN,506.989,36.1,0,44.735,4.042,90
7.036,203.454,-3.883,3.984,24.13,20.8,85.39,NaN,506.989,36.1,0,44.735,3.915,90
7.155,202.936,-4.856,4.9,24.222,20.8,85.39,NaN,506.989,36.1,0,44.735,4.005,90
7.281,202.261,-5.821,5.834,24.289,20.8,85.39,NaN,506.989,36.1,0,44.735,4.257,90
7.419,201.398,-6.77,6.771,24.322,20.8,85.39,NaN,506.989,36.1,0,44.735,4.475,90
7.57,200.304,-7.699,7.704,24.306,20.8,85.39,NaN,506.989,36.1,0,44.735,4.403,90
7.741,198.911,-8.614,8.641,24.223,20.8,85.39,NaN,506.989,36.1,0,44.735,4.496,90
7.94,197.11,-9.496,9.567,24.039,20.8,85.39,NaN,506.989,36.1,0,44.735,4.695,90
8.179,194.734,-10.321,10.464,23.692,20.8,85.39,NaN,506.989,36.1,0,44.735,3.984,90
8.509,191.189,-11.176,11.399,23.037,20.8,85.39,NaN,506.989,36.1,0,44.735,3.778,90
9.009,185.418,-11.909,12.237,21.772,20.8,85.39,NaN,506.989,36.1,0,44.735,3.745,90
9.509,179.414,-12.106,12.516,20.273,20.8,85.39,NaN,506.989,36.1,0,44.735,4.292,90
10.009,173.353,-12.137,12.668,18.571,20.8,85.39,NaN,506.989,36.1,0,44.735,4.044,90
10.509,167.279,-12.158,12.736,16.717,20.8,85.39,NaN,506.989,36.1,0,44.735,2.984,90
11.009,161.202,-12.152,12.637,14.902,20.8,85.39,NaN,506.989,36.1,0,44.735,3.578,90
11.509,155.124,-12.159,12.655,13.158,20.8,85.39,NaN,506.989,36.1,0,44.735,3.943,90
12.009,149.046,-12.154,12.7,11.359,20.8,85.39,NaN,506.989,36.1,0,44.735,3.947,90
12.509,142.969,-12.153,12.73,9.491,20.8,85.39,NaN,506.989,36.1,0,44.735,3.441,90
13.009,136.894,-12.149,12.684,7.632,20.8,85.39,NaN,506.989,36.1,0,44.735,3.609,90
13.509,130.82,-12.147,12.678,5.812,20.8,85.39,NaN,506.989,36.1,0,44.735,3.955,90
14.009,124.748,-12.142,12.712,3.964,20.8,85.39,NaN,506.989,36.1,0,44.735,3.332,90
14.509,118.678,-12.137,12.656,2.126,20.8,85.39,NaN,506.989,36.1,0,44.735,3.758,90
15.009,112.609,-12.136,12.675,0.316,20.8,85.39,NaN,506.989,36.1,0,44.735,3.585,90
15.509,106.542,-12.134,12.664,1.505,20.8,85.39,NaN,506.989,36.1,0,44.735,3.831,90
16.009,100.476,-12.13,12.684,3.338,20.8,85.39,NaN,506.989,36.1,0,44.735,4.061,90
16.509,94.412,-12.125,12.722,5.227,20.8,85.39,NaN,506.989,36.1,0,44.735,4.517,90
17.009,88.352,-12.116,12.797,7.219,20.8,85.39,NaN,506.989,36.1,0,44.735,4.423,90
17.509,82.293,-12.118,12.838,9.309,20.8,85.39,NaN,506.989,36.1,0,44.735,3.885,90
18.009,76.235,-12.115,12.788,11.394,20.8,85.39,NaN,506.989,36.1,0,44.735,3.754,90
18.509,70.179,-12.111,12.741,13.407,20.8,85.39,NaN,506.989,36.1,0,44.735,3.863,90
19.009,64.124,-12.11,12.728,15.376,20.8,85.39,NaN,506.989,36.1,0,44.735,3.071,90
19.509,58.072,-12.095,12.612,17.249,20.8,85.39,NaN,506.989,36.1,0,44.735,4.074,90
20.009,52.024,-12.097,12.673,19.086,20.8,85.39,NaN,506.989,36.1,0,44.735,4.65,90
20.509,45.978,-12.087,12.772,21.062,20.8,85.39,NaN,506.989,36.1,0,44.735,4.169,90
21.009,39.933,-12.094,12.785,23.131,20.8,85.39,NaN,506.989,36.1,0,44.735,3.764,90
21.509,33.887,-12.091,12.732,25.164,20.8,85.39,NaN,506.989,36.1,0,44.735,3.822,90
22.009,27.841,-12.09,12.709,27.142,20.8,85.39,NaN,506.989,36.1,0,44.735,4.144,90
22.509,21.798,-12.086,12.734,29.125,20.8,85.39,NaN,506.989,36.1,0,44.735,3.605,90
23.009,15.756,-12.081,12.678,31.089,20.8,85.39,NaN,506.989,36.1,0,44.735,3.947,90
23.509,9.715,-12.08,12.69,33.022,20.8,85.39,NaN,506.989,36.1,0,44.735,4.09,90
24.009,3.676,-12.077,12.712,34.985,20.8,85.39,NaN,506.989,36.1,0,44.735,3.127,90
# Event GROUND_HIT occurred at t=24.314 seconds
# Event SIMULATION_END occurred at t=24.314 seconds
24.314,0,-12.068,12.64,36.162,20.8,85.39,NaN,506.989,36.1,0,44.735,3.582,90
