# Simulation 18 (Up to date)
# 210 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,20.8,85.39,90,525.389,54.5,NaN,46.548,3.84,90
0.01,6.211e-4,0.203,0.203,4.706e-6,20.8,85.39,86.91,525.32,54.431,NaN,46.542,3.755,90
0.018,0.004,0.696,0.696,1.841e-5,20.8,85.39,79.31,525.181,54.292,NaN,46.528,3.687,90
0.028,0.015,1.469,1.469,4.769e-5,20.8,85.39,67.791,524.966,54.077,NaN,46.508,3.601,90
# Event LIFTOFF occurred at t=0.038 seconds
0.038,0.034,2.266,2.266,9.09e-5,20.8,85.39,57.166,524.751,53.862,NaN,46.487,3.516,90
0.048,0.06,3.081,3.081,1.414e-4,20.8,85.39,48.034,524.524,53.635,NaN,46.466,3.431,90
0.058,0.095,3.909,3.909,1.92e-4,20.8,85.39,41.005,524.296,53.407,NaN,46.444,3.404,90
0.068,0.138,4.751,4.751,2.425e-4,20.8,85.39,35.484,524.069,53.18,NaN,46.422,3.392,90
0.078,0.19,5.606,5.606,2.931e-4,20.8,85.39,31.047,523.842,52.953,NaN,46.401,3.38,90
0.081,0.207,5.866,5.866,3.082e-4,20.8,85.39,29.889,523.773,52.884,NaN,46.394,3.376,90
0.086,0.235,6.254,6.254,3.31e-4,20.8,85.39,28.289,523.67,52.781,NaN,46.384,3.371,90
0.092,0.279,6.832,6.832,3.651e-4,20.8,85.39,26.172,523.514,52.625,NaN,46.369,3.363,90
0.102,0.351,7.679,7.679,4.156e-4,20.8,85.39,23.553,523.283,52.394,NaN,46.347,3.353,90
0.106,0.381,7.994,7.994,4.346e-4,20.8,85.39,22.711,523.197,52.308,NaN,46.339,3.351,90
0.112,0.427,8.464,8.464,4.63e-4,20.8,85.39,21.553,523.07,52.181,NaN,46.327,3.348,90
0.12,0.502,9.167,9.167,5.056e-4,20.8,85.39,20.013,522.88,51.991,NaN,46.309,3.344,90
0.13,0.597,9.998,9.998,5.562e-4,20.8,85.39,18.443,522.655,51.766,NaN,46.287,3.339,90
0.14,0.701,10.825,10.825,6.067e-4,20.8,85.39,17.095,522.429,51.54,NaN,46.265,3.334,90
0.146,0.767,11.315,11.315,6.367e-4,20.8,85.39,16.382,522.296,51.406,NaN,46.252,3.331,90
0.155,0.87,12.047,12.047,6.814e-4,20.8,85.39,15.57,522.096,51.207,NaN,46.233,3.362,90
0.161,0.946,12.561,12.561,7.125e-4,20.8,85.39,15.137,521.958,51.068,NaN,46.22,3.403,90
# Event LAUNCHROD occurred at t=0.169 seconds
0.169,1.049,13.227,13.227,7.528e-4,20.8,85.39,14.622,521.777,50.888,55.686,46.202,3.456,90
0.181,1.213,14.227,14.227,9.041e-4,20.8,85.39,13.873,521.506,50.617,55.748,46.176,3.536,90
0.197,1.453,15.575,15.575,0.001,20.8,85.39,12.989,521.141,50.251,55.827,46.141,3.643,90
0.221,1.853,17.58,17.58,0.003,20.8,85.39,11.461,520.6,49.711,55.982,46.089,3.672,90
0.242,2.237,19.284,19.284,0.005,20.8,85.39,10.31,520.134,49.245,56.115,46.043,3.681,90
0.273,2.88,21.802,21.802,0.008,20.8,85.39,8.453,519.454,48.565,56.368,45.977,3.541,90
0.313,3.809,24.946,24.946,0.014,20.8,85.39,6.509,518.591,47.702,56.696,45.893,3.366,90
0.363,5.149,28.776,28.777,0.021,20.8,85.39,4.822,517.56,46.67,57.052,45.793,3.326,90
0.411,6.62,32.325,32.325,0.025,20.8,85.39,3.363,516.564,45.675,57.432,45.695,3.282,90
0.461,8.325,35.857,35.857,0.024,20.8,85.39,1.943,515.594,44.705,57.887,45.599,3.218,90
0.494,9.546,38.104,38.105,0.017,20.8,85.39,1.168,514.954,44.065,58.181,45.536,3.242,90
0.527,10.839,40.281,40.283,0.005,20.8,85.39,0.285,514.34,43.451,58.568,45.475,3.16,90
0.542,11.451,41.262,41.266,0.002,20.8,85.39,0.109,514.063,43.173,58.652,45.448,3.112,90
0.562,12.289,42.548,42.554,0.015,20.8,85.39,0.517,513.697,42.808,58.461,45.411,3.117,90
0.592,13.593,44.395,44.405,0.039,20.8,85.39,0.994,513.176,42.287,58.255,45.359,3.195,90
0.633,15.464,46.824,46.842,0.085,20.8,85.39,1.429,512.463,41.574,58.08,45.288,3.402,90
0.683,17.875,49.606,49.638,0.161,20.8,85.39,2.053,511.642,40.753,57.852,45.206,3.432,90
0.725,20.014,51.76,51.807,0.246,20.8,85.39,2.49,511,40.111,57.704,45.142,3.346,90
0.743,20.944,52.61,52.665,0.287,20.8,85.39,2.603,510.729,39.84,57.668,45.114,3.308,90
0.77,22.366,53.832,53.899,0.355,20.8,85.39,2.603,510.355,39.466,57.668,45.077,3.334,90
0.799,23.961,55.107,55.188,0.438,20.8,85.39,2.461,509.945,39.056,57.715,45.035,3.394,90
0.827,25.529,56.269,56.365,0.526,20.8,85.39,2.068,509.585,38.696,57.849,44.999,3.61,90
0.86,27.383,57.536,57.646,0.638,20.8,85.39,1.654,509.168,38.279,57.999,44.957,3.731,90
0.877,28.382,58.172,58.291,0.701,20.8,85.39,1.564,508.947,38.058,58.033,44.934,3.626,90
0.903,29.9,59.072,59.202,0.8,20.8,85.39,1.363,508.666,37.776,58.111,44.906,3.488,90
0.942,32.219,60.284,60.43,0.958,20.8,85.39,0.781,508.244,37.354,58.351,44.863,3.496,90
0.97,33.934,61.062,61.217,1.078,20.8,85.39,0.277,507.937,37.047,58.579,44.832,3.561,90
1.006,36.147,61.875,62.039,1.238,20.8,85.39,0.376,507.618,36.729,58.534,44.799,3.673,90
1.046,38.635,62.412,62.581,1.42,20.8,85.39,1.01,507.351,36.462,58.255,44.772,3.779,90
1.089,41.323,62.552,62.721,1.617,20.8,85.39,1.701,507.167,36.278,57.984,44.753,4.084,90
1.12,43.281,62.446,62.613,1.761,20.8,85.39,1.92,507.089,36.2,57.904,44.746,4.159,90
1.132,44.01,62.371,62.537,1.814,20.8,85.39,1.937,507.06,36.171,57.898,44.743,4.154,90
1.15,45.101,62.229,62.392,1.893,20.8,85.39,1.926,507.037,36.148,57.902,44.74,4.147,90
1.172,46.498,62.001,62.162,1.994,20.8,85.39,1.906,507.008,36.119,57.909,44.737,4.203,90
1.2,48.244,61.655,61.813,2.12,20.8,85.39,1.789,506.997,36.108,57.951,44.736,4.276,90
# Event BURNOUT occurred at t=1.22 seconds
1.22,49.459,61.38,61.536,2.207,20.8,85.39,1.699,506.989,36.1,57.984,44.735,4.384,90
1.25,51.272,60.949,61.102,2.335,20.8,85.39,1.484,506.989,36.1,58.065,44.735,4.546,90
1.289,53.645,60.383,60.532,2.503,20.8,85.39,0.991,506.989,36.1,58.262,44.735,4.661,90
