# Simulation 39 (Up to date)
# 217 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,20.8,85.39,90,527.889,57,NaN,46.785,2.842,90
0.01,0,0,0,0,20.8,85.39,90,527.871,56.982,NaN,46.783,2.88,90
0.016,4.207e-6,0.004,0.004,8.561e-7,20.8,85.39,89.919,527.861,56.971,NaN,46.782,2.902,90
0.025,2.511e-4,0.062,0.062,7.015e-6,20.8,85.39,88.79,527.801,56.911,NaN,46.776,2.936,90
0.035,0.002,0.205,0.205,2.09e-5,20.8,85.39,86.046,527.734,56.845,NaN,46.77,2.974,90
0.042,0.003,0.355,0.355,3.516e-5,20.8,85.39,83.24,527.687,56.798,NaN,46.766,3,90
0.052,0.008,0.627,0.627,6.226e-5,20.8,85.39,78.329,527.565,56.676,NaN,46.754,3.037,90
0.062,0.016,0.954,0.954,9.765e-5,20.8,85.39,72.707,527.442,56.553,NaN,46.743,3.068,90
# Event LIFTOFF occurred at t=0.073 seconds
0.073,0.029,1.378,1.378,1.468e-4,20.8,85.39,66.008,527.308,56.418,NaN,46.73,3.102,90
0.083,0.045,1.805,1.805,1.966e-4,20.8,85.39,60.01,527.153,56.264,NaN,46.715,3.133,90
0.093,0.065,2.253,2.253,2.465e-4,20.8,85.39,54.51,526.999,56.109,NaN,46.701,3.164,90
0.098,0.077,2.484,2.484,2.714e-4,20.8,85.39,51.96,526.921,56.032,NaN,46.693,3.18,90
0.106,0.097,2.836,2.836,3.088e-4,20.8,85.39,48.106,526.799,55.91,NaN,46.682,3.166,90
0.116,0.128,3.308,3.308,3.586e-4,20.8,85.39,43.375,526.636,55.746,NaN,46.666,3.13,90
0.126,0.163,3.782,3.782,4.084e-4,20.8,85.39,39.237,526.472,55.583,NaN,46.651,3.094,90
0.134,0.197,4.188,4.188,4.508e-4,20.8,85.39,36.136,526.334,55.444,NaN,46.638,3.063,90
0.144,0.241,4.666,4.666,5.006e-4,20.8,85.39,32.924,526.169,55.28,NaN,46.622,3.026,90
0.154,0.29,5.145,5.145,5.505e-4,20.8,85.39,30.3,526.004,55.115,NaN,46.607,3.011,90
0.164,0.344,5.624,5.624,6.003e-4,20.8,85.39,28.263,525.84,54.95,NaN,46.591,3.028,90
0.17,0.379,5.911,5.911,6.302e-4,20.8,85.39,27.166,525.741,54.852,NaN,46.582,3.038,90
0.179,0.434,6.344,6.344,6.75e-4,20.8,85.39,25.666,525.591,54.702,NaN,46.567,3.053,90
0.189,0.5,6.83,6.83,7.249e-4,20.8,85.39,24.169,525.424,54.535,NaN,46.552,3.07,90
0.195,0.542,7.125,7.125,7.548e-4,20.8,85.39,23.346,525.324,54.435,NaN,46.542,3.08,90
0.204,0.608,7.567,7.567,7.996e-4,20.8,85.39,22.173,525.174,54.285,NaN,46.528,3.089,90
0.214,0.686,8.055,8.055,8.495e-4,20.8,85.39,20.951,525.008,54.118,NaN,46.512,3.089,90
0.224,0.769,8.54,8.54,8.993e-4,20.8,85.39,19.86,524.841,53.952,NaN,46.496,3.09,90
0.236,0.875,9.117,9.117,9.591e-4,20.8,85.39,18.695,524.641,53.752,NaN,46.477,3.09,90
0.246,0.968,9.597,9.597,0.001,20.8,85.39,17.822,524.475,53.586,NaN,46.461,3.09,90
# Event LAUNCHROD occurred at t=0.256 seconds
0.256,1.067,10.079,10.079,0.001,20.8,85.39,17.005,524.309,53.42,55.514,46.445,3.087,90
0.271,1.223,10.806,10.806,0.001,20.8,85.39,15.808,524.06,53.171,55.595,46.421,3.08,90
0.287,1.402,11.586,11.587,0.002,20.8,85.39,14.665,523.794,52.905,55.682,46.396,3.071,90
0.311,1.695,12.755,12.755,0.003,20.8,85.39,13.208,523.395,52.506,55.807,46.358,3.068,90
0.338,2.057,14.056,14.056,0.005,20.8,85.39,11.859,522.947,52.058,55.939,46.315,3.075,90
0.368,2.5,15.509,15.509,0.007,20.8,85.39,10.963,522.449,51.56,56.037,46.267,3.198,90
0.404,3.09,17.233,17.234,0.012,20.8,85.39,10.221,521.856,50.967,56.126,46.21,3.415,90
0.424,3.444,18.187,18.188,0.014,20.8,85.39,9.509,521.528,50.639,56.218,46.178,3.432,90
