# Simulation 39 (Up to date)
# 217 data points written for 14 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Lateral distance (m),Latitude (° N),Longitude (° E),Angle of attack (°),Mass (g),Motor mass (g),CP location (cm),CG location (cm),Wind velocity (m/s),Wind direction (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.454,4.011,19.629,19.63,0.019,20.8,85.39,8.443,521.034,50.145,56.369,46.131,3.438,90
0.465,4.23,20.15,20.151,0.02,20.8,85.39,7.937,520.853,49.964,56.448,46.113,3.39,90
0.482,4.569,20.928,20.928,0.023,20.8,85.39,7.208,520.586,49.697,56.569,46.087,3.318,90
0.506,5.101,22.091,22.091,0.026,20.8,85.39,6.247,520.185,49.296,56.746,46.048,3.241,90
0.526,5.546,23.016,23.016,0.029,20.8,85.39,5.686,519.865,48.975,56.86,46.017,3.247,90
0.556,6.249,24.392,24.392,0.031,20.8,85.39,4.867,519.392,48.502,57.041,45.971,3.255,90
0.592,7.166,26.054,26.054,0.033,20.8,85.39,3.868,518.811,47.922,57.29,45.915,3.247,90
0.642,8.525,28.293,28.293,0.029,20.8,85.39,2.654,518.032,47.143,57.645,45.839,3.279,90
0.669,9.305,29.48,29.481,0.024,20.8,85.39,1.882,517.612,46.723,57.907,45.798,3.221,90
0.71,10.535,31.227,31.23,0.01,20.8,85.39,0.695,517.005,46.116,58.379,45.738,3.082,90
0.76,12.149,33.32,33.328,0.018,20.8,85.39,0.643,516.255,45.366,58.402,45.664,2.907,90
0.786,13.046,34.401,34.412,0.04,20.8,85.39,1.257,515.858,44.969,58.145,45.625,2.833,90
0.826,14.445,35.963,35.982,0.081,20.8,85.39,2.232,515.311,44.422,57.786,45.571,2.623,90
0.876,16.29,37.804,37.838,0.15,20.8,85.39,2.985,514.622,43.733,57.544,45.503,2.523,90
0.908,17.527,38.921,38.966,0.206,20.8,85.39,3.195,514.178,43.289,57.482,45.459,2.559,90
0.951,19.251,40.341,40.404,0.296,20.8,85.39,3.524,513.647,42.758,57.387,45.406,2.459,90
0.988,20.738,41.458,41.539,0.384,20.8,85.39,3.299,513.203,42.314,57.452,45.362,2.625,90
1.025,22.298,42.536,42.635,0.486,20.8,85.39,3.096,512.75,41.86,57.512,45.317,2.684,90
1.063,23.922,43.563,43.682,0.601,20.8,85.39,2.857,512.35,41.461,57.585,45.277,2.671,90
1.102,25.648,44.556,44.695,0.733,20.8,85.39,2.526,511.935,41.046,57.69,45.235,2.619,90
1.145,27.582,45.56,45.721,0.891,20.8,85.39,1.966,511.48,40.591,57.881,45.19,2.618,90
1.157,28.14,45.83,45.997,0.939,20.8,85.39,1.785,511.351,40.461,57.947,45.177,2.621,90
1.175,28.983,46.222,46.398,1.012,20.8,85.39,1.498,511.188,40.299,58.054,45.16,2.626,90
1.203,30.261,46.782,46.969,1.125,20.8,85.39,1.049,510.944,40.054,58.233,45.136,2.635,90
1.244,32.206,47.558,47.76,1.301,20.8,85.39,0.362,510.577,39.688,58.534,45.099,2.642,90
1.284,34.121,48.236,48.45,1.48,20.8,85.39,0.238,510.222,39.333,58.592,45.063,2.604,90
1.334,36.552,48.99,49.215,1.712,20.8,85.39,1.126,509.867,38.977,58.202,45.027,2.738,90
1.384,39.018,49.649,49.88,1.95,20.8,85.39,1.88,509.511,38.622,57.913,44.992,2.909,90
1.429,41.288,50.163,50.398,2.169,20.8,85.39,2.263,509.188,38.299,57.779,44.959,2.988,90
1.462,42.925,50.481,50.717,2.328,20.8,85.39,2.335,508.957,38.068,57.756,44.935,2.992,90
1.497,44.685,50.773,51.009,2.498,20.8,85.39,2.214,508.783,37.894,57.796,44.918,2.936,90
1.533,46.542,51.024,51.261,2.677,20.8,85.39,2.057,508.601,37.711,57.851,44.899,2.973,90
1.572,48.547,51.23,51.468,2.871,20.8,85.39,1.795,508.404,37.515,57.945,44.879,3.054,90
1.618,50.879,51.387,51.627,3.096,20.8,85.39,1.308,508.177,37.288,58.13,44.856,3.114,90
1.66,53.044,51.453,51.697,3.306,20.8,85.39,0.687,507.966,37.077,58.388,44.835,3.095,90
1.71,55.617,51.434,51.684,3.558,20.8,85.39,0.034,507.823,36.934,58.693,44.82,3.118,90
1.76,58.186,51.313,51.571,3.814,20.8,85.39,0.732,507.679,36.79,58.369,44.806,3.127,90
1.81,60.746,51.088,51.355,4.073,20.8,85.39,1.37,507.536,36.647,58.105,44.791,3.077,90
1.838,62.174,50.918,51.191,4.221,20.8,85.39,1.643,507.456,36.567,58.001,44.783,3.054,90
1.88,64.307,50.616,50.898,4.444,20.8,85.39,1.936,507.401,36.512,57.894,44.777,3.004,90
1.921,66.396,50.276,50.566,4.666,20.8,85.39,2.085,507.348,36.458,57.841,44.772,2.926,90
1.96,68.34,49.919,50.218,4.878,20.8,85.39,2.059,507.297,36.408,57.85,44.767,2.857,90
2,70.327,49.516,49.822,5.097,20.8,85.39,1.802,507.245,36.356,57.942,44.761,2.86,90
2.006,70.615,49.454,49.762,5.129,20.8,85.39,1.734,507.238,36.349,57.966,44.761,2.877,90
2.015,71.047,49.361,49.669,5.177,20.8,85.39,1.628,507.233,36.344,58.006,44.76,2.903,90
2.028,71.693,49.218,49.529,5.25,20.8,85.39,1.459,507.227,36.337,58.07,44.76,2.942,90
2.047,72.658,49,49.313,5.359,20.8,85.39,1.188,507.217,36.327,58.177,44.759,2.999,90
2.077,74.098,48.661,48.977,5.523,20.8,85.39,0.858,507.201,36.312,58.313,44.757,2.99,90
2.083,74.39,48.59,48.907,5.556,20.8,85.39,0.79,507.198,36.309,58.343,44.757,2.986,90
2.092,74.829,48.483,48.8,5.606,20.8,85.39,0.685,507.197,36.308,58.389,44.757,2.981,90
2.106,75.484,48.32,48.637,5.681,20.8,85.39,0.552,507.195,36.305,58.447,44.756,2.948,90
2.126,76.463,48.068,48.387,5.794,20.8,85.39,0.407,507.191,36.302,58.513,44.756,2.847,90
# Event BURNOUT occurred at t=2.14 seconds
2.14,77.14,47.889,48.209,5.872,20.8,85.39,0.305,507.189,36.3,58.561,44.756,2.777,90
2.161,78.152,47.619,47.939,5.99,20.8,85.39,0.063,507.189,36.3,58.677,44.756,2.745,90
2.193,79.658,47.215,47.536,6.165,20.8,85.39,0.407,507.189,36.3,58.513,44.756,2.795,90
2.241,81.893,46.615,46.935,6.427,20.8,85.39,1.219,507.189,36.3,58.163,44.756,3.005,90
2.291,84.208,45.99,46.308,6.699,20.8,85.39,1.67,507.189,36.3,57.989,44.756,3.002,90
2.341,86.492,45.37,45.684,6.968,20.8,85.39,2.052,507.189,36.3,57.851,44.756,3.091,90
2.389,88.663,44.776,45.086,7.224,20.8,85.39,2.149,507.189,36.3,57.817,44.756,3.116,90
2.436,90.758,44.199,44.505,7.47,20.8,85.39,1.919,507.189,36.3,57.898,44.756,3.028,90
2.486,92.953,43.589,43.891,7.729,20.8,85.39,1.722,507.189,36.3,57.969,44.756,3.104,90
2.536,95.117,42.982,43.282,7.985,20.8,85.39,1.297,507.189,36.3,58.131,44.756,3.111,90
2.586,97.251,42.376,42.676,8.238,20.8,85.39,0.611,507.189,36.3,58.419,44.756,2.986,90
2.636,99.355,41.773,42.073,8.49,20.8,85.39,0.065,507.189,36.3,58.674,44.756,2.991,90
2.686,101.429,41.171,41.473,8.741,20.8,85.39,0.475,507.189,36.3,58.48,44.756,2.989,90
2.736,103.472,40.57,40.876,8.99,20.8,85.39,1.069,507.189,36.3,58.223,44.756,2.904,90
2.786,105.486,39.969,40.28,9.24,20.8,85.39,1.468,507.189,36.3,58.064,44.756,2.89,90
2.836,107.469,39.37,39.687,9.49,20.8,85.39,1.712,507.189,36.3,57.971,44.756,2.896,90
2.886,109.423,38.774,39.096,9.74,20.8,85.39,1.799,507.189,36.3,57.939,44.756,2.917,90
2.936,111.346,38.18,38.508,9.991,20.8,85.39,1.821,507.189,36.3,57.931,44.756,2.887,90
2.986,113.241,37.59,37.924,10.242,20.8,85.39,1.593,507.189,36.3,58.015,44.756,2.94,90
3.036,115.105,37.004,37.344,10.493,20.8,85.39,1.288,507.189,36.3,58.133,44.756,2.974,90
3.086,116.941,36.423,36.767,10.744,20.8,85.39,0.804,507.189,36.3,58.333,44.756,3.073,90
3.136,118.748,35.846,36.194,10.995,20.8,85.39,0.233,507.189,36.3,58.591,44.756,3.2,90
3.186,120.526,35.274,35.625,11.245,20.8,85.39,0.042,507.189,36.3,58.683,44.756,3.125,90
3.236,122.275,34.705,35.059,11.494,20.8,85.39,0.095,507.189,36.3,58.657,44.756,2.91,90
3.286,123.996,34.138,34.495,11.742,20.8,85.39,0.445,507.189,36.3,58.491,44.756,2.891,90
3.336,125.689,33.576,33.935,11.989,20.8,85.39,0.982,507.189,36.3,58.257,44.756,3.006,90
3.386,127.354,33.016,33.377,12.234,20.8,85.39,1.169,507.189,36.3,58.18,44.756,2.938,90
3.436,128.991,32.459,32.821,12.478,20.8,85.39,1.191,507.189,36.3,58.171,44.756,2.806,90
3.486,130.6,31.904,32.269,12.721,20.8,85.39,1.081,507.189,36.3,58.215,44.756,2.631,90
3.536,132.181,31.352,31.718,12.962,20.8,85.39,1.147,507.189,36.3,58.188,44.756,2.591,90
3.586,133.735,30.802,31.17,13.201,20.8,85.39,1.308,507.189,36.3,58.124,44.756,2.634,90
3.636,135.261,30.254,30.625,13.44,20.8,85.39,1.514,507.189,36.3,58.044,44.756,2.732,90
3.686,136.76,29.708,30.081,13.676,20.8,85.39,1.369,507.189,36.3,58.1,44.756,2.667,90
3.736,138.232,29.164,29.54,13.912,20.8,85.39,1.14,507.189,36.3,58.191,44.756,2.584,90
3.786,139.677,28.622,29.001,14.146,20.8,85.39,1.059,507.189,36.3,58.224,44.756,2.601,90
3.836,141.095,28.082,28.464,14.379,20.8,85.39,1.005,507.189,36.3,58.246,44.756,2.648,90
3.886,142.485,27.543,27.93,14.611,20.8,85.39,0.908,507.189,36.3,58.286,44.756,2.685,90
3.936,143.849,27.007,27.397,14.842,20.8,85.39,0.926,507.189,36.3,58.279,44.756,2.79,90
3.986,145.186,26.471,26.866,15.072,20.8,85.39,0.372,507.189,36.3,58.523,44.756,2.615,90
4.036,146.496,25.937,26.338,15.301,20.8,85.39,0.295,507.189,36.3,58.559,44.756,2.386,90
4.086,147.78,25.403,25.811,15.53,20.8,85.39,0.345,507.189,36.3,58.536,44.756,2.447,90
4.136,149.036,24.872,25.286,15.758,20.8,85.39,0.324,507.189,36.3,58.545,44.756,2.53,90
4.186,150.267,24.342,24.763,15.985,20.8,85.39,0.458,507.189,36.3,58.483,44.756,2.527,90
4.236,151.471,23.813,24.242,16.212,20.8,85.39,0.821,507.189,36.3,58.323,44.756,2.407,90
4.286,152.648,23.285,23.722,16.439,20.8,85.39,1.177,507.189,36.3,58.175,44.756,2.276,90
4.336,153.799,22.758,23.205,16.666,20.8,85.39,1.466,507.189,36.3,58.061,44.756,2.157,90
4.386,154.924,22.232,22.689,16.893,20.8,85.39,1.712,507.189,36.3,57.968,44.756,2.037,90
4.436,156.022,21.708,22.175,17.119,20.8,85.39,1.265,507.189,36.3,58.139,44.756,2.185,90
4.486,157.095,21.186,21.663,17.345,20.8,85.39,1.037,507.189,36.3,58.231,44.756,2.223,90
4.536,158.141,20.666,21.154,17.572,20.8,85.39,0.83,507.189,36.3,58.318,44.756,2.235,90
4.586,159.161,20.147,20.647,17.797,20.8,85.39,0.574,507.189,36.3,58.43,44.756,2.254,90
4.636,160.156,19.631,20.141,18.023,20.8,85.39,0.29,507.189,36.3,58.56,44.756,2.272,90
4.686,161.124,19.116,19.638,18.248,20.8,85.39,0.496,507.189,36.3,58.465,44.756,2.472,90
4.736,162.067,18.604,19.137,18.472,20.8,85.39,0.952,507.189,36.3,58.266,44.756,2.54,90
4.786,162.985,18.093,18.637,18.696,20.8,85.39,1.579,507.189,36.3,58.017,44.756,2.666,90
4.836,163.877,17.584,18.14,18.919,20.8,85.39,2.384,507.189,36.3,57.732,44.756,2.857,90
4.886,164.743,17.078,17.644,19.142,20.8,85.39,2.811,507.189,36.3,57.594,44.756,2.916,90
4.936,165.585,16.573,17.15,19.363,20.8,85.39,3.597,507.189,36.3,57.363,44.756,3.105,90
4.986,166.401,16.069,16.658,19.583,20.8,85.39,4.091,507.189,36.3,57.231,44.756,3.202,90
5.036,167.191,15.568,16.168,19.802,20.8,85.39,4.269,507.189,36.3,57.185,44.756,3.201,90
5.086,167.957,15.067,15.68,20.019,20.8,85.39,4.519,507.189,36.3,57.123,44.756,3.233,90
5.136,168.698,14.568,15.194,20.236,20.8,85.39,5.2,507.189,36.3,56.964,44.756,3.414,90
5.186,169.414,14.071,14.71,20.451,20.8,85.39,5.744,507.189,36.3,56.847,44.756,3.56,90
5.236,170.105,13.575,14.228,20.665,20.8,85.39,5.938,507.189,36.3,56.807,44.756,3.602,90
5.286,170.772,13.079,13.748,20.877,20.8,85.39,5.837,507.189,36.3,56.828,44.756,3.559,90
5.336,171.413,12.585,13.27,21.088,20.8,85.39,5.548,507.189,36.3,56.888,44.756,3.464,90
5.386,172.03,12.09,12.795,21.298,20.8,85.39,4.913,507.189,36.3,57.029,44.756,3.27,90
5.436,172.622,11.595,12.322,21.507,20.8,85.39,4.512,507.189,36.3,57.124,44.756,3.143,90
5.486,173.19,11.101,11.852,21.715,20.8,85.39,5.414,507.189,36.3,56.917,44.756,3.378,90
5.536,173.732,10.608,11.385,21.922,20.8,85.39,5.227,507.189,36.3,56.958,44.756,3.298,90
5.586,174.25,10.116,10.922,22.129,20.8,85.39,5.28,507.189,36.3,56.946,44.756,3.273,90
5.636,174.744,9.624,10.462,22.334,20.8,85.39,5.784,507.189,36.3,56.838,44.756,3.358,90
5.686,175.213,9.134,10.006,22.539,20.8,85.39,6.141,507.189,36.3,56.766,44.756,3.387,90
5.736,175.657,8.644,9.554,22.743,20.8,85.39,6.658,507.189,36.3,56.667,44.756,3.442,90
5.786,176.077,8.155,9.106,22.946,20.8,85.39,6.558,507.189,36.3,56.686,44.756,3.318,90
5.836,176.473,7.666,8.664,23.148,20.8,85.39,6.525,507.189,36.3,56.692,44.756,3.192,90
5.886,176.844,7.178,8.229,23.35,20.8,85.39,7.906,507.189,36.3,56.452,44.756,3.404,90
5.936,177.191,6.693,7.8,23.55,20.8,85.39,8.431,507.189,36.3,56.37,44.756,3.375,90
5.986,177.513,6.207,7.379,23.75,20.8,85.39,8.708,507.189,36.3,56.329,44.756,3.255,90
6.036,177.811,5.722,6.967,23.949,20.8,85.39,9.473,507.189,36.3,56.222,44.756,3.23,90
6.086,178.085,5.239,6.566,24.148,20.8,85.39,10.628,507.189,36.3,56.076,44.756,3.276,90
6.136,178.335,4.757,6.178,24.345,20.8,85.39,11.633,507.189,36.3,55.963,44.756,3.253,90
# Event EJECTION_CHARGE occurred at t=6.14 seconds
6.14,178.355,4.717,6.147,24.361,20.8,85.39,11.712,507.189,36.3,55.954,44.756,3.248,90
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.141 seconds
6.143,178.367,4.693,6.128,24.371,20.8,85.39,NaN,507.189,36.3,0,44.756,3.245,90
6.219,178.689,3.743,5.213,24.66,20.8,85.39,NaN,507.189,36.3,0,44.756,3.333,90
6.3,178.954,2.788,4.345,24.943,20.8,85.39,NaN,507.189,36.3,0,44.756,3.375,90
6.387,179.154,1.827,3.56,25.219,20.8,85.39,NaN,507.189,36.3,0,44.756,3.429,90
6.478,179.276,0.862,2.922,25.485,20.8,85.39,NaN,507.189,36.3,0,44.756,3.383,90
# Event APOGEE occurred at t=6.563 seconds
6.563,179.313,0,2.576,25.714,20.8,85.39,NaN,507.189,36.3,0,44.756,3.302,90
6.662,179.264,-0.974,2.543,25.959,20.8,85.39,NaN,507.189,36.3,0,44.756,3.319,90
6.766,179.113,-1.949,2.884,26.19,20.8,85.39,NaN,507.189,36.3,0,44.756,3.205,90
6.873,178.85,-2.925,3.494,26.408,20.8,85.39,NaN,507.189,36.3,0,44.756,3.173,90
6.986,178.466,-3.9,4.25,26.611,20.8,85.39,NaN,507.189,36.3,0,44.756,3.17,90
7.105,177.945,-4.872,5.083,26.797,20.8,85.39,NaN,507.189,36.3,0,44.756,3.082,90
7.231,177.267,-5.839,5.961,26.965,20.8,85.39,NaN,507.189,36.3,0,44.756,2.877,90
7.369,176.4,-6.804,6.869,27.111,20.8,85.39,NaN,507.189,36.3,0,44.756,2.862,90
7.521,175.294,-7.759,7.786,27.231,20.8,85.39,NaN,507.189,36.3,0,44.756,2.595,90
7.694,173.865,-8.709,8.716,27.315,20.8,85.39,NaN,507.189,36.3,0,44.756,2.619,90
7.901,171.969,-9.639,9.639,27.345,20.8,85.39,NaN,507.189,36.3,0,44.756,2.631,90
8.162,169.336,-10.534,10.545,27.276,20.8,85.39,NaN,507.189,36.3,0,44.756,2.738,90
8.52,165.415,-11.353,11.402,26.999,20.8,85.39,NaN,507.189,36.3,0,44.756,3.296,90
9.012,159.695,-11.894,12.045,26.27,20.8,85.39,NaN,507.189,36.3,0,44.756,3.497,90
9.512,153.705,-12.065,12.329,25.161,20.8,85.39,NaN,507.189,36.3,0,44.756,3.894,90
10.012,147.662,-12.11,12.495,23.757,20.8,85.39,NaN,507.189,36.3,0,44.756,2.759,90
10.512,141.598,-12.145,12.498,22.25,20.8,85.39,NaN,507.189,36.3,0,44.756,2.55,90
11.012,135.525,-12.148,12.464,20.815,20.8,85.39,NaN,507.189,36.3,0,44.756,3.14,90
11.512,129.451,-12.146,12.495,19.386,20.8,85.39,NaN,507.189,36.3,0,44.756,2.924,90
12.012,123.378,-12.145,12.493,17.922,20.8,85.39,NaN,507.189,36.3,0,44.756,3.334,90
12.512,117.307,-12.14,12.527,16.418,20.8,85.39,NaN,507.189,36.3,0,44.756,3.254,90
13.012,111.238,-12.138,12.542,14.856,20.8,85.39,NaN,507.189,36.3,0,44.756,2.957,90
13.512,105.17,-12.135,12.518,13.299,20.8,85.39,NaN,507.189,36.3,0,44.756,3.184,90
14.012,99.103,-12.132,12.526,11.751,20.8,85.39,NaN,507.189,36.3,0,44.756,3.331,90
14.512,93.038,-12.128,12.544,10.171,20.8,85.39,NaN,507.189,36.3,0,44.756,2.896,90
15.012,86.975,-12.124,12.509,8.6,20.8,85.39,NaN,507.189,36.3,0,44.756,2.888,90
15.512,80.913,-12.121,12.487,7.081,20.8,85.39,NaN,507.189,36.3,0,44.756,2.921,90
16.012,74.853,-12.119,12.477,5.589,20.8,85.39,NaN,507.189,36.3,0,44.756,2.974,90
16.512,68.795,-12.116,12.474,4.105,20.8,85.39,NaN,507.189,36.3,0,44.756,3.062,90
17.012,62.738,-12.112,12.48,2.611,20.8,85.39,NaN,507.189,36.3,0,44.756,2.523,90
17.512,56.684,-12.105,12.427,1.157,20.8,85.39,NaN,507.189,36.3,0,44.756,2.92,90
18.012,50.631,-12.105,12.436,0.259,20.8,85.39,NaN,507.189,36.3,0,44.756,2.844,90
18.512,44.58,-12.102,12.433,1.685,20.8,85.39,NaN,507.189,36.3,0,44.756,2.965,90
19.012,38.53,-12.099,12.44,3.121,20.8,85.39,NaN,507.189,36.3,0,44.756,3.217,90
19.512,32.481,-12.094,12.466,4.601,20.8,85.39,NaN,507.189,36.3,0,44.756,3.267,90
20.012,26.435,-12.091,12.488,6.137,20.8,85.39,NaN,507.189,36.3,0,44.756,3.337,90
20.512,20.391,-12.088,12.506,7.72,20.8,85.39,NaN,507.189,36.3,0,44.756,2.84,90
21.012,14.348,-12.083,12.464,9.286,20.8,85.39,NaN,507.189,36.3,0,44.756,2.792,90
21.512,8.307,-12.081,12.436,10.788,20.8,85.39,NaN,507.189,36.3,0,44.756,2.877,90
22.012,2.267,-12.079,12.426,12.256,20.8,85.39,NaN,507.189,36.3,0,44.756,2.81,90
# Event GROUND_HIT occurred at t=22.2 seconds
# Event SIMULATION_END occurred at t=22.2 seconds
22.2,0,-12.077,12.421,12.802,20.8,85.39,NaN,507.189,36.3,0,44.756,2.805,90
